ik,I
ik heet,my name is
ik ben,I am
een,a
de,the
het,the
de man,the man
de vrouw,the woman
de jongen,the boy
het meisje,the girl
het huis,the house
hallo,hello
hoi,hi
goed,good
slecht,bad
morgen,morning
morgen,tomorrow
goedemorgen,good morning
avond,evening
goedenavond,good evening
dag,day
goedendag,good day !
tot ziens,see you
tot,until
doei,bye
alsjeblieft,here you are
alstublieft,here you are
alsjeblieft,please
a.u.b.,please
dank je wel,thank you
ja,yes
nee,no
niet,not
roken,to smoke
wel,(confirmative)
misschien,maybe
links,left
rechts,right
of,or
en,and
jij,you
je,you
hij,he
zij,she
ze,she
wij,we
we,we
jullie,you
zij,they
ze,they
u,you
zijn,to be
de leraar,the teacher
blij,happy
leuk,funny
mooi,pretty
oud,old
jong,young
de voetballer,the football player
de premier,the prime minister
de student,the student
de leerling,the scholar
de baas,the boss
de bakker,the baker
de slager,the butcher
de boer,the farmer
de visser,the fisherman
de advocaat,the lawyer
de dokter,the doctor
de ober,the waiter
de politieman,the police officer
de agent,the police officer
de kapper,the hairdresser
de directeur,the (company) director
de boekhouder,the accountant
de verkoper,the salesman
eten & drinken,food & drinks
de groente,the vegetables
het fruit,the fruits
het brood,the bread
de boterham,the slice of bread
de kaas,the cheese
de hagelslag,the chocolate sprinkles
de pindakaas,the peanut butter
de melk,the milk
de koffie,the coffee
de thee,the tea
de aardappel,the potato
de aardappeleter,the potato-eater
het bier,the beer
de wijn,the wine
het water,the water
het vlees,the meat
de kip,the chicken
de friet,the French fries
frietje met,French fries with mayonnaise
de frikandel,Dutch meat sausage
de kroket,Dutch fried ragout bar
de pannenkoek,the pancake
de stroopwafel,the syrup waffle
drop,liquorice
de/ het snoep,the sweets
wie,who
wat,what
dat,that
dit,this
welke,which
deze,these/ this
die,that/ those
waar,where
hier,here
daar,there
wanneer,when
dan,then
toen,at that time (past)
terwijl,while
hoe,how
zo,like this
hoeveel,how much
de bloem,the flower
waarom,why
daarom,that큦 why
want,because
omdat,because
maar,but
behalve,except
de fiets,the bike
de straat,the street
de weg,the road
de snelweg,the highway
de auto,the car
de bus,the bus
de trein,the train
de tram,the tram
de halte,the stopping place
